week,kia boys,hyundai theft,kia theft
2019-04-21,4,0,0
2019-04-28,6,0,4
2019-05-05,4,0,0
2019-05-12,0,0,0
2019-05-19,0,0,0
2019-05-26,5,0,0
2019-06-02,0,0,0
2019-06-09,5,0,0
2019-06-16,0,0,0
2019-06-23,5,0,0
2019-06-30,6,0,0
2019-07-07,0,0,0
2019-07-14,4,0,0
2019-07-21,5,4,0
2019-07-28,6,0,0
2019-08-04,7,0,0
2019-08-11,6,0,0
2019-08-18,5,0,0
2019-08-25,0,0,0
2019-09-01,5,0,0
2019-09-08,3,0,0
2019-09-15,0,4,0
2019-09-22,4,0,0
2019-09-29,5,0,0
2019-10-06,4,0,0
2019-10-13,5,0,0
2019-10-20,4,0,0
2019-10-27,4,0,0
2019-11-03,5,0,0
2019-11-10,4,0,0
2019-11-17,0,0,0
2019-11-24,4,0,0
2019-12-01,4,0,0
2019-12-08,3,0,0
2019-12-15,0,0,0
2019-12-22,0,0,0
2019-12-29,4,0,0
2020-01-05,4,0,0
2020-01-12,6,0,0
2020-01-19,5,0,0
2020-01-26,4,0,0
2020-02-02,4,0,0
2020-02-09,6,0,0
2020-02-16,5,0,0
2020-02-23,4,0,0
2020-03-01,4,0,0
2020-03-08,4,0,0
2020-03-15,3,0,0
2020-03-22,4,0,0
2020-03-29,3,0,0
2020-04-05,4,0,0
2020-04-12,4,0,0
2020-04-19,5,0,0
2020-04-26,3,0,0
2020-05-03,5,0,0
2020-05-10,5,0,0
2020-05-17,0,0,0
2020-05-24,5,0,0
2020-05-31,0,0,0
2020-06-07,3,0,0
2020-06-14,4,0,0
2020-06-21,6,0,0
2020-06-28,5,0,0
2020-07-05,4,0,0
2020-07-12,4,0,0
2020-07-19,4,0,0
2020-07-26,5,3,0
2020-08-02,0,0,0
2020-08-09,3,0,0
2020-08-16,5,0,4
2020-08-23,7,0,0
2020-08-30,4,0,0
2020-09-06,4,0,0
2020-09-13,5,0,0
2020-09-20,0,0,0
2020-09-27,6,0,0
2020-10-04,4,0,0
2020-10-11,5,0,0
2020-10-18,0,0,0
2020-10-25,0,0,0
2020-11-01,0,0,0
2020-11-08,0,0,0
2020-11-15,4,0,0
2020-11-22,5,0,0
2020-11-29,0,0,4
2020-12-06,0,0,0
2020-12-13,0,0,0
2020-12-20,4,0,0
2020-12-27,0,0,0
2021-01-03,3,0,0
2021-01-10,5,4,0
2021-01-17,0,0,0
2021-01-24,0,0,0
2021-01-31,7,0,0
2021-02-07,3,0,0
2021-02-14,7,0,0
2021-02-21,5,0,0
2021-02-28,4,0,0
2021-03-07,0,0,0
2021-03-14,4,0,0
2021-03-21,0,0,0
2021-03-28,0,0,0
2021-04-04,5,0,0
2021-04-11,0,0,0
2021-04-18,6,0,0
2021-04-25,0,0,0
2021-05-02,5,0,0
2021-05-09,4,0,0
2021-05-16,3,5,3
